timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
0.0,0.28021388456265184,0.2573465039645186,9.855707561963165,-0.011325898311620126,0.040960980402929836,0.011061535740504898,20.624511348436748,-5.121764020862431,-39.873397744852326,1013.2202388651214
0.02,0.29430132179759355,0.14630632901694707,10.40007204555849,-5.75738060608396e-05,0.03511160383402283,0.006234082364086859,20.34384609255889,-4.338932052960762,-39.55239079888691,1013.2715121880595
0.04,0.18092270434575292,0.11997262739454587,11.367828701676116,0.050590618282582545,0.05249553047119532,0.022680031790382867,20.983063735687796,-4.682078330867034,-39.86333937173156,1013.2234466620323
0.06,0.13481948833069504,0.15685327496248855,12.004726025244747,0.04083315420876627,0.041485519676970686,0.013436695076682931,19.226083583630043,-5.595241877344177,-38.88058416679279,1013.2653388738006
0.08,0.002904070331538333,0.019931293427436273,12.05032849820797,0.037981720224212874,-0.0013044912032567184,0.029328301492319825,19.867319945842873,-4.919237673923076,-39.28510627376479,1013.2351791835202
0.1,0.24048482511840505,-0.02141085940614971,12.467842622856114,0.057527214636152145,0.037904414810022144,0.02456881342043866,19.768739308028586,-4.17594391908806,-40.15376388235851,1013.2810314275579
0.12,0.5138277707688589,-0.0600047668279267,12.823256245759907,0.007757489474819822,0.00125563446944901,0.03779650010843273,19.0131586617957,-5.090615517273351,-40.15901371690354,1013.2637910107785
0.14,0.27514925944749735,-0.22809699679451184,12.709425363334528,0.048251690743616286,-0.031587687633600654,0.01569150750942654,20.530163602389848,-4.776142484952466,-39.76515164025732,1013.2284390425825
0.16,0.12102206437077398,-0.16661128717613516,12.521960983772415,0.08519163617939624,0.0024867177088238428,0.027740261511913403,19.86480172209832,-4.727060581130427,-40.419009590212845,1013.2300583489557
0.18,0.15768551473836973,-0.24075451096020803,11.993583139191331,0.04117259226684292,-0.019357688055511413,0.004573994437864225,20.369815602493283,-5.5183114495823,-39.41685584673375,1013.2603105041045
0.2,-0.11770583151543076,-0.4210148490012504,11.705265453106845,0.030747525998010374,-0.06574168955770565,-0.0002735111853306542,21.179885967164807,-4.744646025393243,-39.81919973907821,1013.2427524373859
0.22,-0.06654200761638276,-0.15350270360603238,11.031042448368378,0.029368795227077832,-0.010945167489258084,0.04688383260335326,19.823378154086196,-5.696917576017313,-39.87177054457074,1013.2444131498596
0.24,-0.09974871214846856,-0.32929962865826196,10.195904305327096,0.02417876654450214,-0.03642978769840004,0.018015035645027534,19.789423508671423,-5.312812053200698,-39.65652316611459,1013.2730447772354
0.26,-0.1843006807529673,-0.4086819167971449,9.603086480352292,-0.046215995536012404,-0.04980965737822482,0.030676983865675814,20.059332084862,-4.462138516252904,-39.13858505831547,1013.2324262225326
0.28,-0.15156487200147156,-0.29634456651671714,8.775752743283773,-0.052052757270054456,-0.014684448181976971,0.01788506514374359,20.493623676491705,-4.821621854845821,-39.91452232390625,1013.2490258754435
0.3,-0.23664352612130582,-0.23055849967957903,7.9177503736900965,-0.02518343679290072,-0.037264894042154564,0.004450026869099661,19.716643487344925,-5.152238903873264,-40.056520185435694,1013.266092555873
